team,elo,attack,defense,form,injury,rest_days,home_adv
瓦勒伦加,1771,-0.122,0.000,0.000,0.000,4,0.000
瓦斯特拉,1895,0.070,0.000,0.000,0.000,4,0.080
瓦萨,1800,-0.078,0.000,0.000,0.000,4,0.000
盐湖城,1772,-0.120,0.000,0.000,0.000,4,0.000
盖斯,1914,0.099,0.000,0.000,0.000,4,0.080
科林蒂安,1963,0.174,0.000,0.000,0.000,4,0.080
米亚尔比,1891,0.062,0.000,0.000,0.000,4,0.080
米拉索,1907,0.088,0.000,0.000,0.000,4,0.080
索尔纳,1809,-0.062,0.000,0.000,0.000,4,0.000
索非陆军,1907,0.088,0.000,0.000,0.000,4,0.000
纳什威尔,1959,0.168,0.000,0.000,0.000,4,0.080
维京,1921,0.109,0.000,0.000,0.000,4,0.000
维多利亚,1872,0.034,0.000,0.000,0.000,4,0.080
罗森博格,1951,0.156,0.000,0.000,0.000,4,0.080
腓特烈,1813,-0.056,0.000,0.000,0.000,4,0.080
芝加哥,1836,-0.021,0.000,0.000,0.000,4,0.080
英格兰,1921,0.110,0.000,0.000,0.000,4,0.000
莫尔德,1900,0.078,0.000,0.000,0.000,4,0.000
萨普斯堡,1779,-0.109,0.000,0.000,0.000,4,0.080
蒙特利尔,1890,0.062,0.000,0.000,0.000,4,0.080
蔚山现代,1837,-0.021,0.000,0.000,0.000,4,0.000
西雅图,1954,0.160,0.000,0.000,0.000,4,0.080
贝西克塔斯,1891,0.062,0.000,0.000,0.000,4,0.080
费伦茨瓦,1965,0.176,0.000,0.000,0.000,4,0.080
费特斯塔,1733,-0.180,0.000,0.000,0.000,4,0.000
赫尔火花,1967,0.180,0.000,0.000,0.000,4,0.080
赫尔辛基,1884,0.052,0.000,0.000,0.000,4,0.000
赫根,1957,0.164,0.000,0.000,0.000,4,0.000
达伽马,1828,-0.034,0.000,0.000,0.000,4,0.000
迈阿密,1880,0.045,0.000,0.000,0.000,4,0.080
金泉尚武,1778,-0.111,0.000,0.000,0.000,4,0.000
阿根廷,1948,0.151,0.000,0.000,0.000,4,0.080
阿特比森,1852,0.003,0.000,0.000,0.000,4,0.080
雅罗,1816,-0.052,0.000,0.000,0.000,4,0.080
雷莫,1737,-0.174,0.000,0.000,0.000,4,0.000
首尔FC,1869,0.029,0.000,0.000,0.000,4,0.080
马尔默,1905,0.084,0.000,0.000,0.000,4,0.080
